Spotify most streamed songs of all time,,
,,
Artist and Title,Streams,Daily
Eminem - The Real Slim Shady,"2,157,040,569","786,599"
Roddy Ricch - The Box,"2,154,731,865","575,729"
Post Malone - Congratulations,"2,151,637,117","477,622"
TOTO - Africa,"2,150,549,389","1,185,286"
Michael Jackson - Billie Jean,"2,147,066,748","1,027,059"
Adele - Easy On Me,"2,140,552,670","848,086"
Radiohead - Creep,"2,139,827,991","1,662,178"
One Direction - Night Changes,"2,139,135,967","1,373,480"
Manuel Turizo - La Bachata,"2,138,704,725","759,483"
Jason Mraz - I'm Yours,"2,132,085,171","798,091"
Wiz Khalifa - See You Again,"2,123,878,545","616,754"
Adele - Rolling in the Deep,"2,116,673,763","724,384"
XXXTENTACION - Moonlight,"2,116,212,521","572,417"
Benson Boone - Beautiful Things,"2,115,879,006","2,931,632"
The Chainsmokers - Don't Let Me Down,"2,107,503,994","557,177"
Doja Cat - Kiss Me More,"2,103,671,986","677,402"
Eminem - Mockingbird,"2,096,264,085","913,458"
Post Malone - Better Now,"2,095,341,807","415,978"
The Weeknd - Call Out My Name,"2,091,737,148","808,029"
Avicii - The Nights,"2,090,157,175","801,266"
Gotye - Somebody That I Used To Know,"2,084,034,031","1,107,574"
Imagine Dragons - Radioactive,"2,083,356,648","632,181"
Coolio - Gangsta's Paradise,"2,083,269,375","1,119,841"
Taylor Swift - Blank Space,"2,082,717,449","722,263"
Fleetwood Mac - Dreams,"2,080,071,354","1,485,262"
David Guetta - I'm Good (Blue),"2,078,427,571","864,777"
Tears For Fears - Everybody Wants To Rule The World,"2,064,617,111","1,224,102"
SAINt JHN - Roses (Imanbek Remix),"2,062,289,773","338,876"
WALK THE MOON - Shut Up and Dance,"2,061,948,986","984,704"
BTS - Dynamite,"2,061,729,716","418,284"
Maroon 5 - Sugar,"2,061,287,898","663,160"
J Balvin - LA CANCIÓN,"2,058,876,784","1,653,812"
Calvin Harris - We Found Love,"2,056,554,976","1,031,540"
Lil Nas X - MONTERO (Call Me By Your Name),"2,055,411,637","335,804"
Dream Supplier - Clean Baby Sleep White Noise (Loopable),"2,054,140,714","4,278,820"
Bad Bunny - Me Porto Bonito,"2,048,804,479","689,547"
24kGoldn - Mood,"2,046,138,616","368,599"
Maroon 5 - Maps,"2,043,041,825","873,555"
Arctic Monkeys - Why'd You Only Call Me When You're High?,"2,040,152,952","824,412"
Shakira - Hips Don't Lie,"2,037,676,103","1,145,731"
"Ariana Grande - thank u, next","2,035,718,192","377,233"
Lauv - I Like Me Better,"2,034,717,200","727,025"
Charlie Puth - Attention,"2,033,128,990","820,988"
Don Omar - Danza Kuduro,"2,029,517,487","1,515,189"
Danny Ocean - Me Rehúso,"2,023,474,592","761,414"
Conan Gray - Heather,"2,021,414,238","852,868"
Travis Scott - HIGHEST IN THE ROOM,"2,009,353,767","608,876"
Twenty One Pilots - Heathens,"2,002,164,879","543,924"
Keane - Somewhere Only We Know,"1,999,599,288","1,370,581"
Creedence Clearwater Revival - Have You Ever Seen The Rain,"1,992,815,722","1,027,179"
Sia - Chandelier,"1,989,513,938","736,812"
Calvin Harris - This Is What You Came For,"1,986,139,385","801,729"
Alec Benjamin - Let Me Down Slowly,"1,984,279,931","526,488"
Ed Sheeran - I Don't Care,"1,983,829,876","435,643"
Adele - Set Fire to the Rain,"1,982,289,706","824,635"
Ruth B. - Dandelions,"1,981,296,627","1,067,161"
OneRepublic - I Ain't Worried,"1,977,616,735","1,032,465"
Twenty One Pilots - Ride,"1,976,835,238","734,167"
"Earth, Wind & Fire - September","1,974,669,918","955,911"
5 Seconds of Summer - Youngblood,"1,973,323,011","441,750"
Tame Impala - The Less I Know The Better,"1,971,793,231","972,144"
ZAYN - Dusk Till Dawn,"1,967,410,230","608,950"
Dean Lewis - Be Alright,"1,961,927,564","608,302"
The Weeknd - I Feel It Coming,"1,957,719,543","616,880"
Sia - Cheap Thrills,"1,955,490,832","588,142"
Coldplay - A Sky Full of Stars,"1,952,561,608","1,130,284"
The Weeknd - Can't Feel My Face,"1,942,717,064","511,042"
Christina Perri - a thousand years,"1,942,399,085","780,080"
benny blanco - Eastside,"1,937,175,705","519,960"
AC/DC - Highway to Hell,"1,934,747,643","765,805"
XXXTENTACION - Fuck Love,"1,932,468,891","597,942"
Ed Sheeran - Bad Habits,"1,931,080,678","546,244"
OMI - Cheerleader (Felix Jaehn Remix),"1,930,870,608","735,311"
Justin Bieber - Ghost,"1,930,813,925","714,954"
The White Stripes - Seven Nation Army,"1,929,664,193","768,814"
Luis Fonsi - Despacito,"1,923,596,728","591,227"
David Guetta - Titanium,"1,922,808,179","904,353"
The Walters - I Love You So,"1,922,392,316","1,019,728"
Olivia Rodrigo - deja vu,"1,922,232,703","866,367"
Juice WRLD - All Girls Are The Same,"1,919,248,609","632,340"
Olivia Rodrigo - traitor,"1,917,529,692","1,044,940"
Bon Jovi - Livin' On A Prayer,"1,916,014,815","797,173"
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","1,900,886,988","475,674"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52","1,900,142,199","491,385"
The Weeknd - Earned It (Fifty Shades Of Grey),"1,890,468,656","667,686"
Doja Cat - Woman,"1,885,341,272","670,805"
Måneskin - Beggin',"1,884,753,962","748,490"
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),"1,884,692,956","617,100"
Queen - Under Pressure,"1,877,023,162","726,344"
Wham! - Last Christmas,"1,876,618,768","121,616"
Eagles - Hotel California,"1,874,707,624","870,542"
Miley Cyrus - Party In The U.S.A.,"1,871,242,965","861,409"
Lana Del Rey - Summertime Sadness,"1,871,109,779","1,181,405"
Kendrick Lamar - Money Trees,"1,869,899,737","1,208,040"
Billie Eilish - everything i wanted,"1,867,566,023","671,205"
Harry Styles - Adore You,"1,865,213,250","403,984"
Future - Mask Off,"1,857,776,140","695,617"
Drake - Passionfruit,"1,855,535,103","852,510"
Rihanna - Umbrella,"1,854,168,159","883,723"
Ava Max - Sweet but Psycho,"1,853,825,060","410,982"
AC/DC - Back In Black,"1,851,767,068","685,136"
Cigarettes After Sex - Apocalypse,"1,849,412,176","1,531,907"
The Weeknd - Save Your Tears (Remix),"1,845,662,668","748,768"
The Weeknd - One Of The Girls,"1,843,216,296","2,261,801"
Eminem - Love The Way You Lie,"1,840,683,427","767,970"
Powfu - death bed (coffee for your head),"1,834,701,844","670,108"
"Train - Hey, Soul Sister","1,832,988,231","880,387"
AC/DC - Thunderstruck,"1,832,536,779","870,921"
Ed Sheeran - Shivers,"1,830,664,036","663,106"
Taylor Swift - Anti-Hero,"1,828,726,247","573,811"
Justin Bieber - What Do You Mean?,"1,818,550,922","593,818"
DNCE - Cake By The Ocean,"1,813,662,177","584,357"
Pitbull - Timber,"1,812,544,729","1,018,133"
Post Malone - Wow.,"1,808,270,060","262,717"
50 Cent - In Da Club,"1,802,405,067","726,826"
Bastille - Pompeii,"1,801,989,208","668,678"
Childish Gambino - Redbone,"1,800,979,341","554,087"
XXXTENTACION - Everybody Dies In Their Nightmares,"1,799,260,681","408,049"
The Neighbourhood - Daddy Issues,"1,798,060,506","950,036"
Rihanna - Love On The Brain,"1,797,532,649","892,617"
Luis Fonsi - Despacito,"1,797,226,210","269,092"
Frank Ocean - Pink + White,"1,796,773,909","1,200,160"
MAGIC! - Rude,"1,794,655,495","875,997"
Gorillaz - Feel Good Inc.,"1,792,246,975","1,470,163"
Offset - Ric Flair Drip,"1,791,526,687","337,825"
Calvin Harris - Summer,"1,788,911,180","862,682"
Marshmello - Silence,"1,787,100,112","315,648"
MUSIC LAB JPN - Cake By The Ocean,"1,786,988,123","536,575"
Maroon 5 - Moves Like Jagger,"1,786,325,549","1,012,361"
Kings of Leon - Sex on Fire,"1,781,333,273","990,159"
Harry Styles - Sign of the Times,"1,780,409,277","831,248"
Billie Eilish - ocean eyes,"1,779,279,007","910,418"
Tate McRae - greedy,"1,778,831,444","1,385,568"
Imagine Dragons - Enemy (from the series Arcane League of Legends),"1,774,293,883","656,230"
Coldplay - Fix You,"1,772,722,470","851,425"
Sam Smith - Unholy,"1,767,128,917","515,720"
Justin Bieber - Peaches,"1,765,471,986","445,389"
Panic! At The Disco - High Hopes,"1,762,437,650","393,370"
Teddy Swims - Lose Control,"1,761,400,259","2,231,273"
Beyoncé - Halo,"1,760,441,104","618,565"
Trevor Daniel - Falling,"1,759,647,006","279,984"
Backstreet Boys - I Want It That Way,"1,756,656,066","845,288"
Daniel Caesar - Best Part,"1,755,555,991","934,466"
Ariana Grande - One Last Time,"1,755,040,631","781,680"
Taylor Swift - Lover,"1,751,987,865","753,929"
Miguel - Sure Thing,"1,750,340,654","954,293"
Maroon 5 - Girls Like You,"1,742,944,363","315,842"
Bruno Mars - Talking to the Moon,"1,741,406,635","749,362"
The Script - Hall of Fame,"1,732,763,398","825,798"
Post Malone - I Fall Apart,"1,731,879,364","255,929"
Black Eyed Peas - I Gotta Feeling,"1,731,176,210","1,081,563"
Cardi B - I Like It,"1,729,015,036","312,398"
Khalid - Young Dumb & Broke,"1,727,710,808","531,088"
XXXTENTACION - Revenge,"1,723,802,010","619,387"
Tate McRae - you broke me first,"1,722,369,406","750,723"
Bad Bunny - Tití Me Preguntó,"1,721,719,398","870,648"
DaBaby - ROCKSTAR,"1,719,604,688","236,504"
Dua Lipa - IDGAF,"1,719,538,265","421,220"
Lil Tecca - Ransom,"1,719,208,754","990,130"
XXXTENTACION - Hope,"1,712,235,499","651,362"
Maroon 5 - She Will Be Loved,"1,709,970,057","1,022,919"
Eminem - Godzilla,"1,709,850,800","540,490"
Rihanna - Needed Me,"1,702,967,684","506,312"
Milky Chance - Stolen Dance,"1,702,814,822","931,666"
Katy Perry - Dark Horse,"1,701,168,771","796,398"
Major Lazer - Cold Water,"1,696,144,752","402,123"
Travis Scott - BUTTERFLY EFFECT,"1,694,662,905","536,076"
Steve Lacy - Dark Red,"1,690,881,313","923,885"
DJ Snake - Taki Taki,"1,689,616,679","386,287"
Carly Rae Jepsen - Call Me Maybe,"1,688,862,477","876,536"
Metallica - Enter Sandman,"1,688,622,737","883,092"
Adele - Hello,"1,687,181,942","353,730"
Lady Gaga - Poker Face,"1,685,620,036","2,181,794"
Clean Bandit - Rockabye,"1,685,028,609","433,934"
Zara Larsson - Lush Life,"1,684,369,190","616,927"
Anne-Marie - 2002,"1,683,873,951","556,768"
Coldplay - Hymn for the Weekend,"1,683,514,358","717,019"
White Noise Baby Sleep - Clean White Noise,"1,677,153,903","284,235"
Clean Bandit - Symphony,"1,675,942,607","507,431"
Eurythmics - Sweet Dreams (Are Made of This),"1,673,055,734","689,659"
Creedence Clearwater Revival - Fortunate Son,"1,666,014,916","669,854"
Jimin - Who,"1,665,483,693","3,157,965"
Red Hot Chili Peppers - Californication,"1,665,120,747","818,712"
System Of A Down - Chop Suey!,"1,664,827,487","1,174,163"
Bruno Mars - 24K Magic,"1,664,771,951","492,707"
Rihanna - Diamonds,"1,664,454,720","681,152"
USHER - Yeah!,"1,662,433,095","936,938"
Lil Baby - Drip Too Hard,"1,660,582,342","450,502"
Ellie Goulding - Love Me Like You Do,"1,660,400,676","424,772"
Bad Bunny - Ojitos Lindos,"1,660,345,512","924,698"
Kanye West - Heartless,"1,658,713,392","718,302"
Farruko - Pepas,"1,654,676,077","428,764"
Dr. Dre - Still D.R.E.,"1,653,948,462","617,854"
Rema - Calm Down,"1,652,129,584","657,031"
R.E.M. - Losing My Religion,"1,649,684,188","883,221"
ABBA - Dancing Queen,"1,645,979,906","987,432"
One Direction - Story of My Life,"1,642,063,330","819,845"
Taylor Swift - cardigan,"1,637,695,347","748,853"
Red Hot Chili Peppers - Under the Bridge,"1,634,858,037","790,151"
Lana Del Rey - Young And Beautiful,"1,633,103,260","1,228,254"
Bruno Mars - Grenade,"1,630,896,785","569,922"
Sia - Unstoppable,"1,629,471,116","688,525"
P!nk - Just Give Me a Reason,"1,629,342,057","798,877"
Taylor Swift - Shake It Off,"1,626,402,458","583,943"
Marvin Gaye - Ain't No Mountain High Enough,"1,625,463,901","749,040"
JAY-Z - Ni**as In Paris,"1,623,625,993","434,804"
Zedd - The Middle,"1,623,445,886","400,582"
ROSÉ - APT.,"1,621,634,384","4,110,333"
Maroon 5 - Animals,"1,619,994,597","734,668"
"Snoop Dogg - Young, Wild & Free (feta. Bruno Mars)","1,619,020,156","514,387"
J Balvin - Mi Gente,"1,615,232,491","455,025"
Dynoro - In My Mind,"1,613,709,769","384,505"
Kendrick Lamar - LOVE. FEAT. ZACARI.,"1,612,569,494","928,120"
Ariana Grande - Into You,"1,610,449,578","739,969"
KAROL G - Tusa,"1,609,622,441","337,747"
Nirvana - Come As You Are,"1,607,736,724","1,053,984"
Outkast - Hey Ya!,"1,607,521,736","703,716"
Bad Bunny - Callaita,"1,607,044,809","619,769"
Pitbull - Give Me Everything,"1,603,583,040","1,375,928"
Ariana Grande - Side To Side,"1,602,252,789","485,068"
FloyyMenor - Gata Only,"1,599,339,991","1,644,812"
XXXTENTACION - Look At Me!,"1,598,919,397","352,165"
Bryson Tiller - Don't,"1,597,719,144","749,725"
Rihanna - Stay,"1,597,014,117","808,937"
Post Malone - Psycho,"1,596,723,511","226,687"
NF - Let You Down,"1,596,093,962","291,042"
Lil Nas X - Old Town Road,"1,595,026,162","245,751"
Rauw Alejandro - Todo De Ti,"1,593,992,533","607,952"
Ariana Grande - positions,"1,593,360,810","322,183"
Avicii - Waiting For Love,"1,592,532,298","508,277"
Britney Spears - Toxic,"1,590,993,625","872,066"
Martin Garrix - In the Name of Love,"1,590,242,876","320,781"
Capital Cities - Safe And Sound,"1,589,519,798","944,993"
The Beatles - Here Comes The Sun,"1,587,635,072","755,766"
Kanye West - Stronger,"1,586,239,197","538,942"
Alessia Cara - Scars To Your Beautiful,"1,584,391,780","450,624"
One Direction - What Makes You Beautiful,"1,583,905,268","836,881"
Chris Brown - Under The Influence,"1,581,032,540","625,411"
Pitbull - Time of Our Lives,"1,580,582,220","862,323"
Lady Gaga - Always Remember Us This Way,"1,577,527,058","1,018,158"
Mitski - My Love Mine All Mine,"1,577,181,241","1,167,997"
Metro Boomin - Creepin',"1,575,984,683","505,816"
Billie Eilish - Happier Than Ever,"1,575,046,630","772,251"
Kygo - It Ain’t Me,"1,572,469,119","350,497"
Pharrell Williams - Happy,"1,569,788,777","561,440"
JHAYCO - No Me Conoce,"1,565,851,388","665,658"
Coldplay - Paradise,"1,556,800,694","756,953"
Marshmello - FRIENDS,"1,553,923,280","277,144"
MKTO - Classic,"1,553,867,335","506,573"
Arizona Zervas - ROXANNE,"1,548,753,638","202,314"
Khalid - Better,"1,547,905,472","539,956"
Survivor - Eye of the Tiger,"1,542,637,207","748,997"
d4vd - Romantic Homicide,"1,538,700,248","1,071,516"
Beyoncé - Crazy In Love,"1,536,300,232","937,449"
Fifth Harmony - Work from Home,"1,536,275,084","308,434"
SZA - Snooze,"1,536,231,392","1,377,338"
Imagine Dragons - Bones,"1,534,805,273","633,016"
Snow Patrol - Chasing Cars,"1,533,013,903","681,385"
Clean Bandit - Rather Be,"1,531,963,380","584,078"
Gym Class Heroes - Stereo Hearts,"1,531,243,657","599,687"
Rihanna - Work,"1,531,124,869","340,792"
Jonas Brothers - Sucker,"1,529,857,823","390,814"
Lady Gaga - Bad Romance,"1,525,130,093","1,697,381"
Lost Frequencies - Where Are You Now,"1,524,412,890","594,211"
Joji - Glimpse of Us,"1,519,592,832","592,620"
Red Hot Chili Peppers - Can't Stop,"1,518,525,751","868,508"
Regard - Ride It,"1,517,310,140","324,753"
Kesha - TiK ToK,"1,516,585,019","935,139"
ZAYN - PILLOWTALK,"1,514,745,417","489,106"
"Chappell Roan - Good Luck, Babe!","1,512,586,523","2,216,400"
Bad Bunny - Yonaguni,"1,510,947,018","425,224"
Maluma - Hawái,"1,508,332,719","604,289"
Shawn Mendes - Mercy,"1,507,733,830","389,571"
Jessie J - Bang Bang,"1,504,870,374","489,565"
Nelly Furtado - Promiscuous,"1,503,941,119","1,097,356"
Queen - We Will Rock You,"1,503,237,172","453,244"
Sam Smith - Dancing With A Stranger,"1,500,788,006","418,214"
Noah Kahan - Stick Season,"1,498,055,868","1,024,255"
Bruno Mars - Leave The Door Open,"1,497,469,325","439,602"
The Lumineers - Ho Hey,"1,496,740,998","699,024"
Khalid - Location,"1,491,721,552","310,394"
Axwell /\ Ingrosso - More Than You Know,"1,490,043,344","423,232"
Daddy Yankee - Con Calma,"1,487,872,267","485,881"
A$AP Rocky - Praise The Lord (Da Shine),"1,487,755,192","609,086"
"gnash - i hate u, i love u","1,486,086,256","185,260"
David Kushner - Daylight,"1,485,522,146","821,426"
Djo - End of Beginning,"1,481,856,187","1,488,119"
Portugal. The Man - Feel It Still,"1,481,520,813","615,726"
The Lumineers - Ophelia,"1,478,250,888","521,069"
Lynyrd Skynyrd - Sweet Home Alabama,"1,476,923,635","630,621"
Imagine Dragons - Whatever It Takes,"1,476,052,101","592,072"
Bad Bunny - Efecto,"1,475,999,817","631,704"
Hozier - Too Sweet,"1,475,539,930","1,795,334"
Katy Perry - Last Friday Night (T.G.I.F.),"1,475,497,151","1,252,778"
Adele - When We Were Young,"1,474,983,461","477,859"
Ed Sheeran - Beautiful People,"1,474,403,371","217,474"
Evanescence - Bring Me To Life,"1,474,307,366","1,113,245"
Tyga - Taste,"1,473,910,304","325,668"
Bebe Rexha - Meant to Be,"1,471,399,064","320,307"
The Cranberries - Zombie,"1,469,729,155","768,979"
Ed Sheeran - Castle on the Hill,"1,468,703,105","371,937"
Kendrick Lamar - Not Like Us,"1,467,642,277","2,029,390"
KAROL G - PROVENZA,"1,465,397,462","1,081,630"
Lil Peep - Falling Down,"1,462,433,914","703,034"
"G-Eazy - Me, Myself & I","1,459,675,141","341,464"
Joji - SLOW DANCING IN THE DARK,"1,458,510,852","581,571"
Selena Gomez - Wolves,"1,455,518,854","275,169"
Juice WRLD - Robbery,"1,454,627,620","358,517"
Drake - Hotline Bling,"1,453,271,109","417,164"
Taylor Swift - august,"1,452,841,525","806,486"
"The Rolling Stones - Paint It, Black","1,452,054,236","586,953"
XXXTENTACION - changes,"1,451,790,006","202,505"
Dire Straits - Sultans Of Swing,"1,450,859,262","959,351"
Internet Money - Lemonade,"1,450,402,610","237,632"
Drake - In My Feelings,"1,450,297,290","178,686"
Calvin Harris - Outside,"1,447,205,577","989,532"
AC/DC - You Shook Me All Night Long,"1,442,737,270","518,664"
Coldplay - My Universe,"1,442,031,447","450,006"
Major Lazer - Light It Up (Remix),"1,437,871,865","378,172"
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),"1,436,629,202","703,763"
Ed Sheeran - Galway Girl,"1,436,235,442","479,832"
Cardi B - WAP,"1,433,712,797","241,283"
Ariana Grande - no tears left to cry,"1,431,417,316","278,873"
The Fray - How to Save a Life,"1,427,816,179","799,610"
Lil Peep - Star Shopping,"1,425,317,601","499,429"
Bryan Adams - Summer Of '69,"1,424,752,512","655,716"
Bad Bunny - MIA,"1,424,671,890","453,422"
Foo Fighters - Everlong,"1,421,996,983","654,045"
Rihanna - Only Girl (In The World),"1,421,637,065","933,147"
J. Cole - Wet Dreamz,"1,421,464,620","441,259"
Cyndi Lauper - Girls Just Want to Have Fun,"1,418,667,980","743,691"
Sabrina Carpenter - Please Please Please,"1,418,456,250","1,653,587"
Macklemore & Ryan Lewis - Thrift Shop,"1,417,490,912","517,268"
Macklemore & Ryan Lewis - Thrift Shop,"1,417,490,912","517,268"
Cyndi Lauper - Girls Just Wanna Have Fun,"1,417,097,564","703,968"
SZA - Good Days,"1,416,551,243","904,465"
J. Cole - MIDDLE CHILD,"1,416,362,092","309,067"
Surf Curse - Freaks,"1,409,241,680","941,517"
Natasha Bedingfield - Unwritten,"1,408,462,859","1,207,284"
Logic - 1-800-273-8255,"1,408,291,935","261,019"
d4vd - Here With Me,"1,406,039,997","1,460,715"
Ed Sheeran - Happier,"1,405,986,123","237,241"
Lil Mosey - Blueberry Faygo,"1,405,970,932","288,845"
Eslabon Armado - Ella Baila Sola,"1,403,694,956","407,601"
Kali Uchis - telepatía,"1,401,452,303","772,660"
George Ezra - Budapest,"1,400,318,451","654,841"
Guns N' Roses - Welcome To The Jungle,"1,398,560,050","626,648"
Martin Garrix - Scared to Be Lonely,"1,396,698,012","305,731"
Imagine Dragons - Natural,"1,396,535,868","371,667"
Ariana Grande - we can't be friends (wait for your love),"1,396,249,907","1,701,630"
Steve Lacy - Bad Habit,"1,393,389,797","944,189"
Sean Paul - No Lie,"1,389,145,957","784,899"
Harry Styles - Falling,"1,388,588,594","478,842"
